person_id,date,financial_flow
2,2019-06-28,-3968.61
3,2019-06-28,-2897.55
4,2019-06-28,-1795.94
8,2019-06-28,-1077.56
2,2019-07-31,-4436.95
3,2019-07-31,-5543.14
4,2019-07-31,-3591.87
8,2019-07-31,-3123.37
12,2019-07-31,-1354.84
15,2019-07-31,-1354.84
16,2019-07-31,-4535.30
19,2019-07-31,-978.50
2,2019-08-30,-5669.44
3,2019-08-30,-5795.10
4,2019-08-30,-3591.87
8,2019-08-30,-2449.00
12,2019-08-30,-1731.19
15,2019-08-30,-1495.12
16,2019-08-30,-4214.62
19,2019-08-30,-1731.19
30,2019-08-30,-1180.36
31,2019-08-30,-1935.50
32,2019-08-30,-1659.00
34,2019-08-30,-2239.24
37,2019-08-30,-1839.86
40,2019-08-30,-1469.40
43,2019-08-30,-414.75
2,2019-09-30,-5669.44
3,2019-09-30,-5795.10
4,2019-09-30,-3591.87
8,2019-09-30,-3591.87
12,2019-09-30,-1648.75
15,2019-09-30,-1731.19
16,2019-09-30,-4415.31
19,2019-09-30,-1236.56
30,2019-09-30,-1731.19
31,2019-09-30,-2751.83
32,2019-09-30,-3041.50
34,2019-09-30,-5118.27
37,2019-09-30,-4047.69
40,2019-09-30,-3591.87
43,2019-09-30,-3041.50
47,2019-09-30,-2896.67
49,2019-09-30,-1401.44
51,2019-09-30,-1319.00
52,2019-09-30,-2172.50
53,2019-09-30,-1071.69
57,2019-09-30,-577.06
2,2019-10-31,-5669.44
3,2019-10-31,-5795.10
4,2019-10-31,-3591.87
8,2019-10-31,-3591.87
12,2019-10-31,-1580.65
15,2019-10-31,-1731.19
16,2019-10-31,-5795.10
19,2019-10-31,-1731.19
30,2019-10-31,-1806.46
31,2019-10-31,-2115.83
32,2019-10-31,-3041.50
34,2019-10-31,-4478.49
37,2019-10-31,-4047.69
40,2019-10-31,-3591.87
43,2019-10-31,-3570.46
47,2019-10-31,-3041.50
49,2019-10-31,-1354.84
51,2019-10-31,-1731.19
52,2019-10-31,-2115.83
53,2019-10-31,-1731.19
57,2019-10-31,-1957.00
64,2019-10-31,-5422.94
70,2019-10-31,-4190.46
71,2019-10-31,-4031.37
75,2019-10-31,-528.96
2,2019-11-29,-5669.44
3,2019-11-29,-5795.10
4,2019-11-29,-3591.87
8,2019-11-29,-3591.87
15,2019-11-29,-1731.19
16,2019-11-29,-5795.10
19,2019-11-29,-1731.19
30,2019-11-29,-1731.19
31,2019-11-29,-3041.50
32,2019-11-29,-2462.17
34,2019-11-29,-4478.49
37,2019-11-29,-4047.69
40,2019-11-29,-3591.87
43,2019-11-29,-3041.50
47,2019-11-29,-3041.50
49,2019-11-29,-1731.19
51,2019-11-29,-1731.19
52,2019-11-29,-3041.50
53,2019-11-29,-1236.56
57,2019-11-29,-1319.00
64,2019-11-29,-6209.39
70,2019-11-29,-6479.36
71,2019-11-29,-5795.10
75,2019-11-29,-3041.50
80,2019-11-29,-2462.17
83,2019-11-29,-2172.50
84,2019-11-29,-2394.58
86,2019-11-29,-1882.83
87,2019-11-29,-1738.00
94,2019-11-29,-342.08
2,2019-12-31,-6692.55
3,2019-12-31,-4464.62
4,2019-12-31,-3841.87
8,2019-12-31,-2699.00
15,2019-12-31,-1981.19
16,2019-12-31,-5518.27
